Link,Name,Brand,DiscountedPrice,DiscountPercentage,SoldQuantity,BatteryCapacity,FrontCamera,BackCamera,GPU,ChargingPort,RAM,Resolution,ROM,ScreenSize,WarrantyDuration,Rating,NumberOfReview,Description,Platform
https://cellphones.com.vn/iphone-16-pro-max.html,iPhone 16 Pro Max 256GB | Chính hãng VN/A,Apple,30.490.000đ,Giảm 13%,NaN,NaN,"12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels","Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%
Telephoto 2x 12MP: 52 mm, ƒ/1.6
Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,NaN,NaN,2868 x 1320 pixels,256 GB,6.9 inches,"Máy mới 100% , chính hãng Apple Việt Nam.
CellphoneS hiện là đại lý bán lẻ uỷ quyền iPhone chính hãng VN/A của Apple Việt Nam",4.9/5,293 đánh giá,"Màn hình Super Retina XDR 6,9 inch lớn hơn có viền mỏng hơn, đem đến cảm giác tuyệt vời khi cầm trên tay.
Điều khiển Camera - Chỉ cần trượt ngón tay để điều chỉnh camera giúp chụp ảnh hoặc quay video đẹp hoàn hảo và siêu nhanh.
iPhone 16 Pro Max có thiết kế titan cấp 5 với lớp hoàn thiện mới, tinh tế được xử lý bề mặt vi điểm.
iPhone 16 Pro Max được cài đặt sẵn hệ điều hành iOS 18, cho giao diện trực quan, dễ sử dụng và nhiều tính năng hữu ích.",CellphoneS
https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25.html,Samsung Galaxy S25 256GB,Samsung,19.690.000đ,Giảm 14%,NaN,4000 mAh,12MP,"Camera siêu rộng 12MP
Camera góc rộng 50MP
Camera Tele 10MP","Tốc độ CPU 4.47GHz, 3.5GHz
8 nhân",NaN,12 GB,2340 x 1080-pixel,256 GB,6.2 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,1 đánh giá,"Màn hình Dynamic AMOLED 2X 6.2 inch 120Hz – Hiển thị sắc nét, mượt mà, tiết kiệm pin.
Chip Snapdragon 8 Elite – Hiệu năng mạnh mẽ, tối ưu AI, tiết kiệm năng lượng.
Camera 50MP + Zoom quang 3X – Cảm biến lớn, chụp đêm tốt, quay video 8K.
Thiết kế cao cấp, IP68 – Chống nước, chống bụi, bền bỉ và sang trọng.",CellphoneS
https://cellphones.com.vn/xiaomi-14t-pro.html,Xiaomi 14T Pro 12GB 512GB,Xiaomi,16.990.000đ,Giảm 6%,NaN,5000 mAh,"32MPƒ/2,0
Độ dài tiêu cự tương đương 25 mm
FOV 80,8˚
Chế độ ban đêm
HDR
Tính năng chụp ảnh bằng lòng bàn tay","Máy ảnh chính: 50MP, 23mm, ƒ/1 6
Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2
Máy ảnh tele: 50MP, 60mm, ƒ/2 0","1 x Cortex-X4, tối đa 3,4GHz; 3 x Cortex-X4, lên đến 2,85GHz; 4 x Cortex-A720, lên đến 2.0GHz",NaN,12 GB,1220 x 2712 pixels,512 GB,6.67 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.9/5,58 đánh giá,"Hiệu năng Xiaomi 14T Pro 5G mạnh mẽ với chip MediaTek Dimensity 9300+ - Hiệu suất tối ưu cho các tác vụ nặng như chơi game, xử lý đồ họa và đa nhiệm mượt mà.
Màn hình AMOLED 6.67 inch 144Hz siêu mượt - Trải nghiệm hình ảnh sắc nét, mọi thao tác trở nên mượt mà hơn, từ lướt web đến chơi game.
Pin 5.000mAh và sạc nhanh 120W - Điện thoại Xiaomi 14T Pro 5G giúp bạn sạc đầy chỉ trong vòng chưa đến 20 phút, đảm bảo thời lượng sử dụng lâu dài suốt cả ngày.
Hỗ trợ 5G và Wi-Fi 7 - Tốc độ kết nối siêu nhanh, giúp bạn trải nghiệm mượt mà từ xem video trực tuyến đến chơi game mà không lo bị gián đoạn.",CellphoneS
https://cellphones.com.vn/oppo-reno10-pro-plus.html,OPPO Reno10 Pro+ 5G 12GB 256GB,OPPO,10.990.000đ,Giảm 45%,NaN,4700 mAh,"Camera góc rộng: 32 MP, f/2.4","Camera góc rộng: 50 MP
Kính tiềm vọng: 64 MP, PDAF, 5x optical zoom
Camera góc siêu rộng: 8 MP, f/2.2",1x3.0 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510,NaN,12 GB,1240 x 2772 pixels,256 GB,6.74 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.9/5,11 đánh giá,"Trải nghiệm hình ảnh sống động, rực rỡ và sắc nét với tấm nền AMOLED 6.74 inch cùng tần số quét 120Hz mượt mà.
Hiệu năng mạnh mẽ cho khả năng xử lý đa nhiệm mượt mà, chơi game cấu hình cao.
Chụp ảnh chuyên nghiệp, sắc nét và ấn tượng với camera sau AI 50MP (chính) & Phụ 64 MP, 8 MP
Sử dụng thoải mái cả ngày dài với pin dung lượng cao 4700mAh, hỗ trợ sạc nhanh SuperVOOC 100W.",CellphoneS
https://cellphones.com.vn/xiaomi-14t.html,Xiaomi 14T 12GB 512GB,Xiaomi,12.490.000đ,Giảm 11%,NaN,5000 mAh,"32MPƒ/2,0
FOV 80,8˚
Chế độ ban đêm
HDR
Tính năng chụp ảnh bằng lòng bàn tay","Camera chính: 50MP, 23mm, ƒ/1 7 Cảm biến hình ảnh IMX906 của Sony 2 0 m Super Pixel
Máy ảnh tele: 50MP, 50mm, ƒ/1 9
Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2","1x Cortex-A715, Lên đến 3,35GHz; 3x Cortex-A715, Lên đến 3,2GHz; 4x Cortex-A510 lên đến 2,2GHz",NaN,12 GB,1220 x 2712 pixels,512 GB,6.67 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,40 đánh giá,"Hiệu năng mạnh mẽ với chip MediaTek Dimensity 8300-Ultra - Mang lại hiệu năng tốt cho các tác vụ hàng ngày, từ lướt web, xem video đến chơi game với độ ổn định cao.
Thấu kính quang học Leica Summilux - Ghi lại những bức ảnh chi tiết, sắc nét phù hợp với nhu cầu nhiếp ảnh di động và quay phim chất lượng cao.
Màn hình 144Hz AMOLED cho màu sắc sống động, độ sáng cao và khả năng tái hiện hình ảnh chân thực, mang lại trải nghiệm xem phim, chơi game tuyệt vời.
Xiaomi 14T trang bị pin lớn 5.000mAh, kết hợp với công nghệ sạc nhanh 67W - Sạc đầy nhanh chóng và duy trì thời gian sử dụng suốt cả ngày.",CellphoneS
https://cellphones.com.vn/iphone-15.html,iPhone 15 128GB | Chính hãng VN/A,Apple,15.790.000đ,Giảm 21%,NaN,3349 mAh,"12MP, ƒ/1.9",Chính 48 MP & Phụ 12 MP,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,NaN,6 GB,2556 x 1179 pixels,128 GB,6.1 inches,"Máy mới 100% , chính hãng Apple Việt Nam.
CellphoneS hiện là đại lý bán lẻ uỷ quyền iPhone chính hãng VN/A của Apple Việt Nam",4.9/5,72 đánh giá,"Thiết kế thời thượng và bền bỉ - Mặt lưng kính được pha màu xu hướng cùng khung viền nhôm bền bỉ
Dynamic Island hiển thị linh động mọi thông báo ngay lập tức giúp bạn nắm bắt mọi thông tin
Chụp ảnh đẹp nức lòng - Camera chính 48MP, Độ phân giải lên đến 4x và Tele 2x chụp chân dung hoàn hảo
Pin dùng cả ngày không lắng lo - Thời gian xem video lên đến 20 giờ và sạc nhanh qua cổng USB-C tiện lợi
Cải tiến hiệu năng vượt bậc - A16 Bionic mạnh mẽ giúp bạn cân mọi tác vụ dù có yêu cầu đồ hoạ cao",CellphoneS
https://cellphones.com.vn/dien-thoai-samsung-galaxy-s24-fe.html,Samsung Galaxy S24 FE 5G 8GB 128GB,Samsung,12.790.000đ,Giảm 25%,NaN,4700 mAh,10MP,50MP + 12vMP + 8MP,NaN,NaN,8 GB,1080 x 2400 pixels (FullHD+),128 GB,6.7 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.8/5,6 đánh giá,"Màn hình Dynamic AMOLED 120Hz - Mang lại trải nghiệm hình ảnh siêu mượt mà, màu sắc sống động.
Chip Exynos 2400e (4nm) cung cấp hiệu năng vượt trội, xử lý mượt mà mọi tác vụ từ chơi game đồ họa cao cho đến đa nhiệm ứng dụng.
Camera 50MP chuyên nghiệp với tính năng AI vượt trội giúp bạn chụp ảnh chất lượng cao trong mọi điều kiện ánh sáng.
Với viên pin dung lượng 4700mAh và công nghệ sạc nhanh 25W - Galaxy S24 FE đảm bảo sử dụng bền bỉ suốt ngày dài.",CellphoneS
https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14.html,Xiaomi Redmi Note 14 6GB 128GB,Xiaomi,4.790.000đ,Giảm 4%,NaN,5500mAh,Camera trước 20MP - f/2.2,"Hệ thống camera AI 108MP
Camera đo chiều sâu 2MP - f/2.4
Camera cận cảnh 2MP - f/2.4","8 nhân, lên đến 2.2GHz",NaN,6 GB,1080 x 2400 pixels (FullHD+),128 GB,6.67 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.9/5,104 đánh giá,"Redmi Note 14 sở hữu camera AI 108MP kết hợp với zoom trong cảm biến 3x, cho ra những bức ảnh sắc nét, chi tiết dù chụp chủ thể ở xa hay cận cảnh phức tạp.
Sản phẩm được trang bị bộ xử lý MediaTek Helio G99-Ultra 6nm, mang đến hiệu suất mượt mà, phản hồi nhanh, dù là đa nhiệm, chơi game hay phát trực tuyến.
Màn hình Xiaomi Redmi Note 14 6,67 inch, tốc độ làm mới lên đến 120Hz đảm bảo dù ở trong nhà hay ngoài trời mang đến trải nghiệm xem thú vị, đắm chìm.
Thiết kế với các cạnh bo tròn, tiện dụng giúp bạn dễ dàng cầm nắm, dù đang di chuyển trong ngày làm việc bận rộn hay thư giãn vào buổi tối.",CellphoneS
https://cellphones.com.vn/dien-thoai-oppo-find-n5.html,OPPO FIND N5,OPPO,44.990.000đ,NaN,NaN,5600mAh,"Màn hình chính: 8MP, ƒ/2.4
Màn hình ngoài: 8MP, ƒ/2.4","50MP, ƒ/1.8 OIS (Chính) + 8MP, ƒ/2.2 (Góc rộng) + 50MP, ƒ/2.7 (Tele)",NaN,NaN,16 GB,2.480 x 2.248 pixels,512 GB,8.12 inches,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,6 đánh giá,"Chip Snapdragon 8 Elite, RAM 16GB, bộ nhớ trong 512GB, xử lý mượt mà mọi tác vụ
Màn hình AMOLED 8.12"" (trong) & 6.62"" (ngoài), tần số quét 120Hz, hiển thị sắc nét
Camera chính & tele 50MP, góc rộng 8MP, chụp ảnh sắc nét, zoom quang học ấn tượng
Dung lượng 5,600mAh, sạc nhanh 80W, sử dụng cả ngày dài",CellphoneS
https://cellphones.com.vn/iphone-16-pro.html,iPhone 16 Pro 128GB | Chính hãng VN/A,Apple,24.990.000đ,Giảm 14%,NaN,NaN,"12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels","Camera chính: 48MP, f/1.78, 24mm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao
Hỗ trợ Telephoto 2x 12MP: 52 mm, ƒ/1.6
Camera góc siêu rộng: 48MP, 13 mm, ƒ/2.2 và trường ảnh 120°, H",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,NaN,NaN,2622 x 1206 pixels,128 GB,6.3 inches,"Máy mới 100% , chính hãng Apple Việt Nam.
CellphoneS hiện là đại lý bán lẻ uỷ quyền iPhone chính hãng VN/A của Apple Việt Nam",5.0/5,39 đánh giá,"Màn hình Super Retina XDR 6,3 inch lớn hơn có viền mỏng hơn, đem đến cảm giác tuyệt vời khi cầm trên tay.
Điều khiển Camera - Chỉ cần trượt ngón tay để điều chỉnh camera giúp chụp ảnh hoặc quay video đẹp hoàn hảo và siêu nhanh. 
Tính năng quay video đẳng cấp với 4K Dolby Vision tốc độ 120 fps — độ phân giải và tốc độ khung hình cao nhất hiện nay của Apple.
iPhone 16 Pro được cài đặt sẵn hệ điều hành iOS 18, cho giao diện trực quan, dễ sử dụng và nhiều tính năng hữu ích.",CellphoneS
