Link,Name,DiscountedPrice,DiscountPercent,Brand,Rating,NumberOfReview,Description,WarrantyDuration,Card,CPU,RAM,Storage,Battery,Screen_size,Operating_System,Resolution,Ports
https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-72vs.html,Laptop Gaming Acer Nitro V ANV15-51-72VS NH.QNASV.004,19.990.000đ,Giảm 23%,Acer,5.0/5,6 đánh giá,"Trang bị CPU Intel Core i7-13620H xử lý nhanh chóng mọi tác vụ văn phòng hay tận hưởng các tựa game từ AAA đến game Esport.
Bộ nhớ RAM 16 GB DDR5 cho khả năng xử lý đa nhiệm và đa tác vụ của máy càng được tăng tốc tối đa.
Card đồ họa RTX 2050 tối ưu hiệu suất và năng lượng, chiến mượt các tựa game AAA với mức đồ họa từ Low/Basic trở lên.
Tận hưởng các cuộc phiêu lưu, giải trí sống động trên màn hình 15.6 inch FHD, cùng tần số quét chuẩn chiến game 144 Hz.","Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất",NVIDIA GeForce RTX 2050 4GB GDDR6 VRAM,"Intel Core i7-13620H (10 lõi / 16 luồng, upto 4.90 GHz, 24 MB)",16GB,512GB PCIe NVMe SSD (nâng cấp tối đa 2TB),"4 cell, 57Wh",15.6 inches,Windows 11 Home,1920 x 1080 pixels (FullHD),"1 x USB Type-C™
3 x USB-A
1 x HDMI® 2.1 port with HDCP support
1 x 3.5 mm headphone/speaker jack
1 x Ethernet (RJ-45) port
1 x DC-in jack for AC adapter"
https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-72vs.html,Laptop Gaming Acer Nitro V ANV15-51-72VS NH.QNASV.004,19.990.000đ,Giảm 23%,Acer,5.0/5,6 đánh giá,"Trang bị CPU Intel Core i7-13620H xử lý nhanh chóng mọi tác vụ văn phòng hay tận hưởng các tựa game từ AAA đến game Esport.
Bộ nhớ RAM 16 GB DDR5 cho khả năng xử lý đa nhiệm và đa tác vụ của máy càng được tăng tốc tối đa.
Card đồ họa RTX 2050 tối ưu hiệu suất và năng lượng, chiến mượt các tựa game AAA với mức đồ họa từ Low/Basic trở lên.
Tận hưởng các cuộc phiêu lưu, giải trí sống động trên màn hình 15.6 inch FHD, cùng tần số quét chuẩn chiến game 144 Hz.","Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất",NVIDIA GeForce RTX 2050 4GB GDDR6 VRAM,"Intel Core i7-13620H (10 lõi / 16 luồng, upto 4.90 GHz, 24 MB)",16GB,512GB PCIe NVMe SSD (nâng cấp tối đa 2TB),"4 cell, 57Wh",15.6 inches,Windows 11 Home,1920 x 1080 pixels (FullHD),"1 x USB Type-C™
3 x USB-A
1 x HDMI® 2.1 port with HDCP support
1 x 3.5 mm headphone/speaker jack
1 x Ethernet (RJ-45) port
1 x DC-in jack for AC adapter"
https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14q8x9-83hl000kvn.html,Laptop Lenovo IdeaPad Slim 5 14Q8X9 83HL000KVN,19.490.000đ,Giảm 22%,Laptop AI,NaN,NaN,"Laptop có màu xám thanh lịch, kiểu dáng mỏng nhẹ, dễ dàng mang theo khi di chuyển.
Màn hình 14.0 inch WUXGA cung cấp hình ảnh rõ ràng và chi tiết, lý tưởng cho công việc và giải trí.
Trang bị bộ vi xử lý Copilot+X PLUS X1P và RAM 16GB, máy xử lý mượt mà các tác vụ đa nhiệm.
Ổ cứng 512GB PCIe cho tốc độ truy xuất dữ liệu nhanh, phục vụ tốt cho nhu cầu lưu trữ.
Chạy trên Windows 11, mang lại trải nghiệm người dùng mượt mà với nhiều tính năng hiện đại.","Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất
Bảo hành pin và bộ sạc 12 tháng","Qualcomm Adreno
Tiến trình chip mới nên có thể không kết nối được với các thiết bị có driver cũ","Snapdragon X Plus X1P-42-100, 8C, Max Turbo up to 3.4GHz (single-core) / 3.2GHz (8-core), 30MB",16GB,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (One drive, up to 1TB M.2 2242 SSD)",57Wh,14 inches,Windows 11 Home Single Language,1920 x 1200 pixels (WUXGA),"2x USB-A (USB 5Gbps / USB 3.2 Gen 1)
2x USB-C (USB 10Gbps / USB 3.2 Gen 2), với USB PD 3.0 và DisplayPort 1.4
1x HDMI 2.1, up to 4K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Đầu đọc thẻ nhớ microSD"
https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14q8x9-83hl000kvn.html,Laptop Lenovo IdeaPad Slim 5 14Q8X9 83HL000KVN,19.490.000đ,Giảm 22%,Laptop AI,NaN,NaN,"Laptop có màu xám thanh lịch, kiểu dáng mỏng nhẹ, dễ dàng mang theo khi di chuyển.
Màn hình 14.0 inch WUXGA cung cấp hình ảnh rõ ràng và chi tiết, lý tưởng cho công việc và giải trí.
Trang bị bộ vi xử lý Copilot+X PLUS X1P và RAM 16GB, máy xử lý mượt mà các tác vụ đa nhiệm.
Ổ cứng 512GB PCIe cho tốc độ truy xuất dữ liệu nhanh, phục vụ tốt cho nhu cầu lưu trữ.
Chạy trên Windows 11, mang lại trải nghiệm người dùng mượt mà với nhiều tính năng hiện đại.","Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất
Bảo hành pin và bộ sạc 12 tháng","Qualcomm Adreno
Tiến trình chip mới nên có thể không kết nối được với các thiết bị có driver cũ","Snapdragon X Plus X1P-42-100, 8C, Max Turbo up to 3.4GHz (single-core) / 3.2GHz (8-core), 30MB",16GB,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (One drive, up to 1TB M.2 2242 SSD)",57Wh,14 inches,Windows 11 Home Single Language,1920 x 1200 pixels (WUXGA),"2x USB-A (USB 5Gbps / USB 3.2 Gen 1)
2x USB-C (USB 10Gbps / USB 3.2 Gen 2), với USB PD 3.0 và DisplayPort 1.4
1x HDMI 2.1, up to 4K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Đầu đọc thẻ nhớ microSD"
https://cellphones.com.vn/laptop-asus-gaming-vivobook-k3605zf-rp634w.html,Laptop ASUS Gaming VivoBook K3605ZF-RP634W,16.490.000đ,Giảm 21%,ASUS,5.0/5,4 đánh giá,"Trang bị CPU Intel Core i5-12500H và card đồ họa NVIDIA GeForce RTX 2050, laptop mang đến trải nghiệm gaming mượt mà trên các tựa game phổ biến.
Màn hình 16 inch WUXGA (1920x1200) với tần số quét cao cho hình ảnh hiển thị sắc nét, chống xé hình, giật lag.
RAM 16GB DDR4 đảm bảo khả năng chạy đa nhiệm hiệu quả, chuyển đổi giữa các ứng dụng nhanh chóng.
Ổ cứng SSD 512GB PCIe NVMe mang đến không gian lưu trữ rộng rãi và tốc độ truy xuất dữ liệu cực nhanh.
Thiết kế gaming ấn tượng với lớp vỏ màu đen mạnh mẽ cùng các đường nét thiết kế đậm chất gaming tạo nên diện mạo ấn tượng cho laptop.","Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất
Bảo hành pin và bộ sạc 12 tháng",NVIDIA GeForce RTX 2050 4GB GDDR6,"Intel Core i5-12500H 2.5 GHz (18M Cache, up to 4.5 GHz, 4P+8E cores)",16GB,512GB M.2 NVMe PCIe 4.0 SSD,"50WHrs, 3S1P, 3-cell Li-ion",16 inches,Windows 11 Home,1920 x 1200 pixels (WUXGA),"1x USB 3.2 Gen 1 Type-C hỗ trợ sạc
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader"
https://cellphones.com.vn/laptop-asus-gaming-vivobook-k3605zf-rp634w.html,Laptop ASUS Gaming VivoBook K3605ZF-RP634W,16.490.000đ,Giảm 21%,ASUS,5.0/5,4 đánh giá,"Trang bị CPU Intel Core i5-12500H và card đồ họa NVIDIA GeForce RTX 2050, laptop mang đến trải nghiệm gaming mượt mà trên các tựa game phổ biến.
Màn hình 16 inch WUXGA (1920x1200) với tần số quét cao cho hình ảnh hiển thị sắc nét, chống xé hình, giật lag.
RAM 16GB DDR4 đảm bảo khả năng chạy đa nhiệm hiệu quả, chuyển đổi giữa các ứng dụng nhanh chóng.
Ổ cứng SSD 512GB PCIe NVMe mang đến không gian lưu trữ rộng rãi và tốc độ truy xuất dữ liệu cực nhanh.
Thiết kế gaming ấn tượng với lớp vỏ màu đen mạnh mẽ cùng các đường nét thiết kế đậm chất gaming tạo nên diện mạo ấn tượng cho laptop.","Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất
Bảo hành pin và bộ sạc 12 tháng",NVIDIA GeForce RTX 2050 4GB GDDR6,"Intel Core i5-12500H 2.5 GHz (18M Cache, up to 4.5 GHz, 4P+8E cores)",16GB,512GB M.2 NVMe PCIe 4.0 SSD,"50WHrs, 3S1P, 3-cell Li-ion",16 inches,Windows 11 Home,1920 x 1200 pixels (WUXGA),"1x USB 3.2 Gen 1 Type-C hỗ trợ sạc
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader"
https://cellphones.com.vn/laptop-hp-14-ep0112tu-8c5l1pa.html,Laptop HP 14-EP0112TU 8C5L1PA,15.690.000đ,Giảm 20%,HP,NaN,NaN,"Sở hữu thiết kế thanh lịch và sang trọng với gam màu tinh tế
Màn hình 14 inch Full HD, mang đến hình ảnh sắc nét và màu sắc sống động
Bộ xử lý Intel Core i5-1335U cho khả năng xử lý tác vụ đa nhiệm và các ứng dụng đòi hỏi hiệu suất cao một cách mượt mà
RAM 16 GB đảm bảo khả năng xử lý mọi dữ liệu nhanh chóng và hiệu quả
Ổ cứng 512 GB SSD cung cấp không gian lưu trữ lớn, giúp bạn lưu trữ nhiều tài liệu và dữ liệu quan trọng","Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất
Bảo hành pin và bộ sạc 12 tháng",Intel Iris Xe Graphics,"Intel Core i5 - 1335U (4.60 GHz, 10 lõi / 12 luồng, 12MB)",16GB,512 GB PCIe NVMe M.2 SSD,"3-cell, 41 Wh Li-ion",14 inches,Windows 11 Home SL,1920 x 1080 pixels (FullHD),"1x USB Type-C (Chỉ hỗ trợ truyền dữ liệu)
2x USB Type-A
1 AC smart pin
1x HDMI 1.4b
1x Headphone/microphone combo"
https://cellphones.com.vn/laptop-hp-14-ep0112tu-8c5l1pa.html,Laptop HP 14-EP0112TU 8C5L1PA,15.690.000đ,Giảm 20%,HP,NaN,NaN,"Sở hữu thiết kế thanh lịch và sang trọng với gam màu tinh tế
Màn hình 14 inch Full HD, mang đến hình ảnh sắc nét và màu sắc sống động
Bộ xử lý Intel Core i5-1335U cho khả năng xử lý tác vụ đa nhiệm và các ứng dụng đòi hỏi hiệu suất cao một cách mượt mà
RAM 16 GB đảm bảo khả năng xử lý mọi dữ liệu nhanh chóng và hiệu quả
Ổ cứng 512 GB SSD cung cấp không gian lưu trữ lớn, giúp bạn lưu trữ nhiều tài liệu và dữ liệu quan trọng","Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất
Bảo hành pin và bộ sạc 12 tháng",Intel Iris Xe Graphics,"Intel Core i5 - 1335U (4.60 GHz, 10 lõi / 12 luồng, 12MB)",16GB,512 GB PCIe NVMe M.2 SSD,"3-cell, 41 Wh Li-ion",14 inches,Windows 11 Home SL,1920 x 1080 pixels (FullHD),"1x USB Type-C (Chỉ hỗ trợ truyền dữ liệu)
2x USB Type-A
1 AC smart pin
1x HDMI 1.4b
1x Headphone/microphone combo"
https://cellphones.com.vn/macbook-air-m2-2022-16gb.html,Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB I Chính hãng Apple Việt Nam,20.990.000đ,Giảm 16%,Mac,4.9/5,18 đánh giá,"Thiết kế sang trọng, lịch lãm - siêu mỏng 11.3mm, chỉ 1.24kg
Hiệu năng hàng đầu - Chip Apple m2, 8 nhân GPU, hỗ trợ tốt các phần mềm như Word, Axel, Adoble Premier
Đa nhiệm mượt mà - Ram 16GB, SSD 256GB cho phép vừa làm việc, vừa nghe nhạc
Màn hình sắc nét - Độ phân giải 2560 x 1664 cùng độ sáng 500 nits
Âm thanh sống động - 4 loa tramg bị công nghệ dolby atmos và âm thanh đa chiều","Máy mới 100%, đầy đủ phụ kiện từ nhà sản xuất. Sản phẩm có mã SA/A (được Apple Việt Nam phân phối chính thức).","8 nhân GPU, 16 nhân Neural Engine",Apple M2 8 nhân,16GB,256GB,"52,6 Wh",13.6 inches,MacOS,2560 x 1664 pixels,"2 x Thunderbolt 3
Jack tai nghe 3.5 mm
MagSafe 3"
https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025.html,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB | Chính hãng Apple Việt Nam,26.490.000đ,Giảm 2%,Mac,5.0/5,9 đánh giá,"MacBook Air 13 M4 2025 sở hữu thiết kế siêu mỏng nhẹ với màu sắc sang trọng, độ dày chỉ 1.13 cm và trọng lượng 1.24 kg.
Máy được trang bị chip M4 thế hệ mới nhất của Apple với 10 CPU và 8 GPU, mang lại hiệu năng xử lý mạnh mẽ và khả năng đồ họa ấn tượng.
RAM 16GB và ổ cứng SSD 256GB giúp đa nhiệm mượt mà, khởi động nhanh chóng và lưu trữ đủ dùng cho công việc hàng ngày.
Màn hình Liquid Retina 13.6 inch với độ phân giải 2560x1664 pixels cho hình ảnh sắc nét, màu sắc chân thực và độ sáng cao lên đến 500 nits.","Máy mới 100%, đầy đủ phụ kiện từ nhà sản xuất. Sản phẩm có mã SA/A (được Apple Việt Nam phân phối chính thức).","GPU 8 lõi
Neural Engine 16 lõi
Công nghệ dò tia tốc độ cao bằng phần cứng
Băng thông bộ nhớ 120GB/s",CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,16GB,256GB,"Thời gian xem video trực tuyến lên đến 18 giờ
Thời gian duyệt web trên mạng không dây lên đến 15 giờ
Pin Li-Po 53.8 watt‑giờ tích hợp",13.6 inches,macOS,2560 x 1664 pixels,"Cổng sạc MagSafe 3
Jack cắm tai nghe 3.5 mm
Hai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s)"
