ID,Link,Name,DiscountedPrice,DiscountedPercent,Brand,Rating,NumberOfReview,Description,WarrantyDuration,Card,CPU,RAM,Storage,Battery,Screen_size,Operating_System,Resolution,Ports
311178,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Win11 (NJ776W),12690000.0,-12%,Asus,4.9,43 đánh giá,"Laptop Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W) mang phong cách thiết kế sang trọng, hiệu năng mạnh mẽ cùng tính đa năng sử dụng, chắc chắn sẽ giúp bạn đáp ứng mọi tác vụ công việc và học tập hàng ngày một cách hiệu quả và chuyên nghiệp nhất.",Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,AMD Ryzen 5 - 7520U,2.8GHz,5500 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","3-cell, 42Wh",15.6,Windows 11 Home SL,Full HD (1920 x 1080),"1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
USB Type-C"
335362,https://www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-256gb,Laptop MacBook Air 13 inch M4 16GB/256GB,26990000.0,NaN,MacBook,4.9,1 đánh giá,"Không làm người dùng thất vọng, Apple đã cho ra mắt MacBook Air M4 16GB không chỉ là một chiếc laptop siêu mỏng nhẹ mà còn mang đến hiệu suất mạnh mẽ với chip Apple M4 và RAM 16 GB, cùng màn hình Liquid Retina rực rỡ và thời lượng pin ấn tượng. Sản phẩm này là sự lựa chọn hoàn hảo cho mọi nhu cầu, phù hợp cho cả người dùng văn phòng, sinh viên, đặc biệt là nhà sáng tạo nội dung, thiết kế đồ hoạ.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Apple M4 - Hãng không công bố,120 GB/s memory bandwidth,Hãng không công bố,256 GB SSD,"Li-Po, 53.8 Wh",13.6,macOS Sequoia,Liquid Retina (2560 x 1664),"Jack tai nghe 3.5 mm
MagSafe 3
2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)"
327098,https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa,Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA),13690000.0,-9%,HP,4.9,4 đánh giá,"Nổi bật và quá thân quen trong phân khúc laptop học tập - văn phòng giá rẻ, chiếc laptop HP 15 fc0085AU R5 7430U (A6VV8PA) với cấu hình ổn định, vận hành hiệu quả mọi tác vụ từ làm việc đến giải trí đa phương tiện. Máy hội tụ đầy đủ các yếu tố để trở thành bạn trợ thủ lý tưởng cho người dùng.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,AMD Ryzen 5 - 7430U,2.30 GHz,3200 MHz,512 GB SSD NVMe PCIe,"3-cell, 41Wh",15.6,Windows 11 Home SL,Full HD (1920 x 1080),"2 x USB Type-A
HDMI
1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)
1 x Headphone/microphone combo"
333886,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5057w1,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5057W1),16490000.0,NaN,Dell,4.9,5 đánh giá,"Laptop Dell Inspiron 15 3520 i5 1235U (N5I5057W1) là laptop tầm trung lý tưởng cho văn phòng, học sinh, sinh viên và người dùng cần thiết bị linh hoạt cho công việc và giải trí. Với vi xử lý Intel Core i5 thế hệ 12, máy mang đến hiệu suất ổn định, khả năng đa nhiệm mượt mà và thiết kế gọn nhẹ, phù hợp cho mọi nhu cầu sử dụng hàng ngày.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Alder Lake - 1235U,1.3GHz,2666 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)
Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)","3-cell, 41Wh",15.6,Windows 11 Home SL + Office Home & Student 2024 vĩnh viễn + Microsoft 365 Basic,Full HD (1920 x 1080),"1 x USB 2.0
2 x USB 3.2
HDMI
1 x Headphone/microphone combo"
334997,https://www.thegioididong.com/laptop/acer-aspire-go-ag15-31p-30m4-i3-nxkrpsv004,Laptop Acer Aspire Go AG15 31P 30M4 i3 N305/8GB/256GB/Win11 (NX.KRPSV.004),10090000.0,-8%,Acer,5,,"Laptop Acer Aspire Go AG15 31P 30M4 i3 N305 (NX.KRPSV.004) là một chiếc laptop sở hữu thiết kế gọn nhẹ, hiệu suất ổn định cùng màn hình lớn, đáp ứng hoàn hảo nhu cầu học tập, làm việc và giải trí nhẹ nhàng. Đây là lựa chọn lý tưởng cho sinh viên, nhân viên văn phòng hoặc những ai đang tìm kiếm một thiết bị đáng tin cậy với mức giá hợp lý.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i3 Alder Lake chuỗi N - N305,1.8GHz,4800 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","3-cell, 50Wh",15.6,Windows 11 Home SL,Full HD (1920 x 1080),"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
USB Type-C"
323920,https://www.thegioididong.com/laptop/hp-15-fd0234tu-i5-9q969pa,Laptop HP 15 fd0234TU i5 1334U/16GB/512GB/Win11 (9Q969PA),15890000.0,-19%,HP,4.9,4 đánh giá,"Tích hợp tuyệt vời với đa dạng chế độ làm việc trong ngày, đẩy cao hiệu suất tư duy sáng tạo cũng như nâng hiệu quả công việc của bạn lên cao nhất với laptop HP 15 fd0234TU i5 1334U (9Q969PA), được tích hợp con chip Gen 13 hiện đại, khối lượng nhẹ nhàng cùng cấu trúc cực kì dễ dàng mang theo bên mình.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Raptor Lake - 1334U,1.3GHz,3200 MHz,512 GB SSD NVMe PCIe,"3-cell, 41Wh",15.6,Windows 11 Home SL,Full HD (1920 x 1080),"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
USB Type-C"
332365,https://www.thegioididong.com/laptop/lenovo-loq-15iax9e-i5-83lk000bvn,Laptop Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX/16GB/512GB/4GB RTX2050/144Hz/Win11 (83LK000BVN),17690000.0,-11%,Lenovo,4.9,1 đánh giá,"Laptop Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK000BVN) không chỉ là một chiếc laptop, mà là vũ khí mạnh mẽ giúp bạn chinh phục mọi đấu trường ảo. Với ngoại hình hầm hố, thiết kế đậm chất gaming và cấu hình siêu mạnh mẽ, chiếc máy này chắc chắn sẽ mang lại những trải nghiệm chơi game không thể tuyệt vời hơn.",Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Alder Lake - 12450HX,Hãng không công bố,4800 MHz,"512 GB SSD NVMe PCIe
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)",57Wh,15.6,Windows 11 Home SL,Full HD (1920 x 1080),"2 x USB 3.2
HDMI
1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)
1 x Headphone/microphone combo
LAN (RJ45)"
325477,https://www.thegioididong.com/laptop/asus-asus-vivobook-15-oled-a1505za-i5-ma415w,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W),16490000.0,-17%,Asus,4.9,10 đánh giá,"Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W) không chỉ ghi điểm bởi thiết kế hiện đại mà còn chinh phục người dùng với màn hình OLED sắc nét, sống động cùng hiệu năng mạnh mẽ, đáp ứng mọi nhu cầu học tập, văn phòng và giải trí.",Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Alder Lake - 12500H,2.5GHz,3200 MHz,512 GB SSD NVMe PCIe,"3-cell, 50Wh",15.6,Windows 11 Home SL,2.8K (2880 x 1620) - OLED,"1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
USB Type-C"
326124,https://www.thegioididong.com/laptop/msi-thin-15-b12ucx-i5-2046vn,Laptop MSI Gaming Thin 15 B12UCX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (2046VN),15690000.0,-17%,MSI,5,,,,,,,,,,,,
332578,https://www.thegioididong.com/laptop/acer-aspire-7-a715-76-53pj-i5-nhqgesv007,Laptop Acer Aspire 7 A715 76 53PJ i5 12450H/16GB/512GB/Win11 (NH.QGESV.007),13990000.0,-12%,Acer,4.9,,,,,,,,,,,,
